tax_id	NZ	order	phylum	genus	family	species	class
1358027	NC_021872.1	Lactobacillales	Firmicutes	Lactobacillus	Lactobacillaceae	Lactobacillus reuteri	Bacilli
520	NZ_CP016962.1	Burkholderiales	Proteobacteria	Bordetella	Alcaligenaceae	Bordetella pertussis	Betaproteobacteria
58049	NZ_CP013145.1	Alteromonadales	Proteobacteria	Colwellia	Colwelliaceae	Colwellia sp. MT41	Gammaproteobacteria
261654	NZ_LT594323.1	Micromonosporales	Actinobacteria	Micromonospora	Micromonosporaceae	Micromonospora auratinigra	Actinobacteria
1223574	NZ_CM001978.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000072.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000073.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000074.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000075.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000076.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000077.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000078.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000079.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000080.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000081.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000082.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000083.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1223574	NZ_AOOG01000084.1	Enterobacterales	Proteobacteria	Dickeya	Pectobacteriaceae	Dickeya dadantii	Gammaproteobacteria
1307	NZ_CP017142.1	Lactobacillales	Firmicutes	Streptococcus	Streptococcaceae	Streptococcus suis	Bacilli
485916	NC_013216.1	Clostridiales	Firmicutes	Desulfofarcimen	Peptococcaceae	Desulfofarcimen acetoxidans	Clostridia
754477	NC_017856.1	Thiotrichales	Proteobacteria	Methylophaga	Piscirickettsiaceae	Methylophaga frappieri	Gammaproteobacteria
754477	NC_017858.1	Thiotrichales	Proteobacteria	Methylophaga	Piscirickettsiaceae	Methylophaga frappieri	Gammaproteobacteria
747	NZ_CP015564.1	Pasteurellales	Proteobacteria	Pasteurella	Pasteurellaceae	Pasteurella multocida	Gammaproteobacteria
210	NZ_LT635477.1	Campylobacterales	Proteobacteria	Helicobacter	Helicobacteraceae	Helicobacter pylori	Epsilonproteobacteria
600809	NC_013418.2	Flavobacteriales	Bacteroidetes	Blattabacterium	Blattabacteriaceae	Blattabacterium sp. (Periplaneta americana)	Flavobacteriia
600809	NC_013419.1	Flavobacteriales	Bacteroidetes	Blattabacterium	Blattabacteriaceae	Blattabacterium sp. (Periplaneta americana)	Flavobacteriia
520	NZ_CP025526.1	Burkholderiales	Proteobacteria	Bordetella	Alcaligenaceae	Bordetella pertussis	Betaproteobacteria
1463165	NZ_CP012300.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella quasipneumoniae	Gammaproteobacteria
1492	NZ_CP014704.1	Clostridiales	Firmicutes	Clostridium	Clostridiaceae	Clostridium butyricum	Clostridia
1492	NZ_CP014705.1	Clostridiales	Firmicutes	Clostridium	Clostridiaceae	Clostridium butyricum	Clostridia
1492	NZ_CP014706.1	Clostridiales	Firmicutes	Clostridium	Clostridiaceae	Clostridium butyricum	Clostridia
413503	NC_023032.1	Enterobacterales	Proteobacteria	Cronobacter	Enterobacteriaceae	Cronobacter malonaticus	Gammaproteobacteria
