ARO:3000498ErmF,ARO:3003559cepA,ARO:3003318Streptomyces,ARO:3003730Bifidobacteria,ARO:3001214mdtM,ARO:3002868dfrG,ARO:3003318Streptomyces,ARO:3003730Bifidobacteria,ARO:3002062CMY-51,ARO:3002069CMY-59,ARO:3002079CMY-66,ARO:3002080CMY-67,ARO:3003773Clostridium,ARO:3000179tet(L),ARO:3000195tetB(P),ARO:3002175MIR-10,ARO:3004042Enterobacter,ARO:3002804FosA2,ARO:3003171ACT-36,ARO:3004042Enterobacter,ARO:3000616mel,ARO:3002438OKP-B-5,ARO:3002875dfrE,ARO:3003551emeA,ARO:3003949efrB,ARO:3004089ANT(3'')-IIa,ARO:3002556AAC(6')-Ii,ARO:3002819msrC,ARO:3000191tetQ,ARO:3000832evgA,ARO:3004039Escherichia,ARO:3002174MIR-9,ARO:3003548mdtN,ARO:3000024patA,ARO:3002985arnA,ARO:3003209FosA5,ARO:3000823ramA,ARO:3002399OXY-2-4,ARO:3001327mdtK,ARO:3002412OXY-5-2,ARO:3002415OXY-6-3,ARO:3002641APH(3')-Ia,ARO:3003056smeE,ARO:3004041Klebsiella,ARO:3004580Klebsiella,ARO:3004583Klebsiella,ARO:3003922oqxA,ARO:3001140SHV-86,ARO:3000190tetO,ARO:3000216acrB,ARO:3000815mgrA,ARO:3003905ANT(4')-Ib,ARO:3000617mecA,ARO:3002865dfrC,ARO:3000316mphA,ARO:3002405OXY-2-10,ARO:3003774Streptococcus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0880186721332272,0.0,7.649340563806293,4.03844720233132,4.466630529870836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40708776942307184,5.866430135757447,0.0,0.0,0.0,0.0,0.0,0.0,0.4243377338002789,4.306644838862182,9.720518593304618,9.17320355588303,4.607959477759484,0.0,0.0,1.2494730792432842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1243308924899174,4.38852549827958,3.900891878376086,0.0,4.38852549827958,0.0,0.0,15.109907139339214,7.068502051687671,8.008443247715869,0.0,0.0,0.0,0.0,0.0,0.0,1.7086137172885827,0.0,0.0,0.3939392104826591,0.0,3.4359552074491875,0.0,0.0,0.8975316032646151,0.8944578648972705,3.871879046729268,0.0,0.6545907181704336,0.0,0.0,2.346373897217998,0.0,0.0,1.421484612029213,6.543669683011865,0.0,2.6244043105636803,6.251042818694597,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163023617664615,0.0,3.3166577707174345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1478526047051347,2.0488496244846433,1.92796701579586,0.0,0.0,0.0,0.0,9.555142308874974,10.727732135964963,0.0,6.006570106094896,0.9844315679502244,1.5630090419234242,14.353894041617446,0.0,0.0,1.3310858202153868,0.0,0.0,0.0,0.5342976329412842,6.023653402536018,9.03695004368277,10.825256973564649,6.275795108008787,1.9379924595535776,0.0,2.692353279483496,2.394565403894238,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3762219851691831,0.0,2.341673749541103,0.0,5.276926658078642,0.0,0.9482574856019468,5.276926658078642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731033536153192,2.466955861066205,0.0,0.0,4.665337239376925,0.0,0.0,2.2841830074941405,3.2102783706920044,0.0,1.3585958013655417,3.970531979526685,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7336891881197501,0.0,10.784772489051118,5.223313565524644,6.066559725622232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208176029791301,10.413536340204564,0.0,0.0,0.0,0.0,0.0,0.0,1.2147488422861763,6.165363930839769,13.30693211062397,14.503780223491855,6.337068681274081,0.0,0.0,1.9433633048444436,0.0,1.1727472849473173,0.7181481328113425,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.112007573751186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3784684411731,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.881115165175411,12.306140452423724,3.1341561027322205,4.881115165175411,0.0,0.0,3.759526622835582,2.514115873304477,2.437677578047824,0.0,0.0,0.0,0.0,5.9890716067297305,0.0,0.0,3.899237463114999,0.8065450621057225,0.3068018906095289,0.0,7.369956370429938,0.0,0.0,0.0,0.0,3.518937312717254,0.0,1.5546914605711053,0.0,0.0,3.639483100895703,0.0,0.0,2.487003975845444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3623543444260518,0.0,0.0,0.0,0.3623543444260518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4794129724893605,2.4204782452831592,0.291848407925121,2.4794129724893605,0.0,0.7035842980792261,0.0,0.0,0.0,0.0,6.342869318574944,3.009488570644236,0.0,0.0,0.0,0.0,0.3240874762424309,0.0,1.1547350645194965,10.556478435868508,4.6489535372398985,0.0,1.8917662643022324,0.0,0.0,0.0,0.0,4.369122282600383,0.0,0.0,3.961747043890874,0.0,0.0,2.213010085251491,1.3643830645184991,0.0,0.600132456837168,1.2464734169675178,0.0,0.3831137176199183,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.911573160719677,12.2761738770167,0.0,5.911573160719677,0.0,0.0,0.0,1.1770883491637585,1.6392406570766789,0.0,1.5614893528795386,1.2036614966769932,0.0,0.0,0.0,0.0,0.0,0.0,3.974123491818808,0.0,4.747240942894062,0.0,0.0,0.0,0.0,0.0,0.2744981283159996,0.0,0.0,0.0,2.8158429922601,0.0,0.0,2.0623033661108163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.4776060422776729,0.9070991707366765,1.475890622182529,0.0,0.4776060422776729,0.9070991707366765,0.0,0.0,0.0,0.0,2.6909936982574894,0.0,4.188813393456845,0.0,1.1158848950412097,2.3678496743907163,0.5155069566682077,1.1158848950412097,0.0,0.0,1.1934767118015477,1.9761669527487304,2.8570787478484974,0.0,0.0,0.0,0.0,9.330289153706394,11.634073434905567,0.0,6.454495530257366,0.5951055818822685,1.1743737245595771,11.546762590265207,2.6898772301078537,0.0,0.0,0.0,0.0,0.0,1.091267751575568,5.358191915934985,12.049768417819635,9.6526139130521,5.6733167605280945,0.6861451478998444,0.0,2.641613294681458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.707289288470919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5808773219407057,1.4996059850766914,2.9270107661016933,0.0,0.0,0.0,0.4318176163831,10.888310054375573,11.643021444078526,0.0,7.775626254033357,0.0,0.0,0.0,0.0,0.0,1.916403848858074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3056182918489565,0.0,2.3261604650402217,0.0,5.235094276861583,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9780147340017404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6272124143541906,4.9196199074769495,0.0,1.0522619258500403,3.765355578880031,3.6753374718799656,0.0,3.765355578880031,2.0350247411911297,0.0,1.4655257806009965,1.0202133392759274,2.116735297862238,0.0,0.0,0.0,0.0,7.906922839451811,10.804395234147464,3.2685260812562316,5.836340297824572,0.4279854049542732,0.606280626960355,10.80243185161442,1.9344940303933151,0.0,0.5090773764192934,0.0,0.0,0.0,0.971310983753626,5.267555018247519,8.356485405682019,6.343094190056973,5.181816815652283,0.8425496648054508,0.0,2.5959679657021533,0.0,0.0,1.3864141646963957,0.0,0.0,0.0,0.0
7.756832310791782,7.789999246799423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25970239683109064,0.0,0.0,0.0,4.207354848413833,10.058002969294797,14.333324610564256,0.0,6.881478018342143,0.0,0.0,0.0,0.0,0.0,1.0157642777725162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.905448650418666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
