value.var,name,pvalue
-0.013611297,ARO.3000949TEM.82,0.085066566
-0.028564745,ARO.3000955TEM.88,0.085066566
-0.02764797,ARO.3000978TEM.115,0.085066566
-0.03273345,ARO.3001000TEM.136,0.085066566
-0.016428739,ARO.3001020TEM.154,0.085066566
-0.019920511,ARO.3003157TEM.219,0.085066566
0.010539294,ARO.3000074emrB,0.087729156
0.087054144,ARO.3000830cpxA,0.087729156
-0.003673597,ARO.3000883TEM.11,0.087729156
-0.004830382,ARO.3000884TEM.12,0.087729156
-0.022656024,ARO.3000898TEM.28,0.087729156
-0.029505352,ARO.3000912TEM.43,0.087729156
-0.023644325,ARO.3000922TEM.53,0.087729156
-0.02003708,ARO.3000939TEM.73,0.087729156
-0.01293352,ARO.3000958TEM.91,0.087729156
-0.016756456,ARO.3000963TEM.96,0.087729156
-0.011287137,ARO.3000965TEM.102,0.087729156
-0.024720946,ARO.3000997TEM.133,0.087729156
-0.025676449,ARO.3001003TEM.139,0.087729156
-0.015280797,ARO.3001022TEM.156,0.087729156
-0.018257455,ARO.3001024TEM.158,0.087729156
0.073972063,ARO.3001066SHV.7,0.087729156
0.057963574,ARO.3001073SHV.14,0.087729156
0.053381463,ARO.3001088SHV.30,0.087729156
0.068941935,ARO.3001090SHV.32,0.087729156
0.052078003,ARO.3001092SHV.34,0.087729156
0.061900839,ARO.3001100SHV.42,0.087729156
0.067314494,ARO.3001126SHV.72,0.087729156
0.054790133,ARO.3001137SHV.83,0.087729156
0.048747368,ARO.3001139SHV.85,0.087729156
0.069287282,ARO.3001183SHV.141,0.087729156
0.032072586,ARO.3001195SHV.156,0.087729156
0.033652679,ARO.3001201SHV.162,0.087729156
-0.024514516,ARO.3001374TEM.185,0.087729156
0.066264965,ARO.3003156SHV.189,0.087729156
0.020659627,ARO.3004597Klebsiella,0.087729156
-0.032281021,ARO.3001017TEM.150,0.100866295
0.036761107,ARO.3001065SHV.6,0.103365383
0.031744353,ARO.3001067SHV.8,0.103365383
0.046414379,ARO.3001114SHV.59,0.103365383
0.041728228,ARO.3001136SHV.82,0.103365383
0.039427966,ARO.3001138SHV.84,0.103365383
0.062470831,ARO.3001146SHV.94,0.103365383
0.071814609,ARO.3001159SHV.110,0.103365383
0.071433187,ARO.3001160SHV.111,0.103365383
0.030012321,ARO.3001167SHV.120,0.103365383
0.015520617,ARO.3001171SHV.124,0.103365383
0.081686867,ARO.3001364SHV.182,0.103365383
0.038547381,ARO.3003952yojI,0.103365383
0.244453333,ARO.3000318mphB,0.104793863
-0.023399407,ARO.3000911TEM.42,0.104793863
-0.012814199,ARO.3000937TEM.71,0.104793863
-0.025363755,ARO.3000941TEM.75,0.104793863
-0.016797093,ARO.3000994TEM.130,0.104793863
-0.003031783,ARO.3001021TEM.155,0.104793863
0.00590829,ARO.3001148SHV.96,0.104793863
0.044226126,ARO.3001170SHV.123,0.104793863
-0.000381331,ARO.3001369TEM.153,0.104793863
-0.010773483,ARO.3001375TEM.184,0.104793863
-0.100717995,ARO.3002389OXY.1.1,0.104793863
-0.068650276,ARO.3002390OXY.1.2,0.104793863
-0.090726272,ARO.3002391OXY.1.3,0.104793863
-0.107017315,ARO.3002392OXY.1.4,0.104793863
0.205605649,ARO.3002403OXY.2.8,0.104793863
-0.174717571,ARO.3002412OXY.5.2,0.104793863
0.211814041,ARO.3003954efmA,0.104793863
0.210931246,ARO.3002079CMY.66,0.123148454
0.134087876,ARO.3000191tetQ,0.144654484
0.099361525,ARO.3000194tetW,0.144654484
0.016961491,ARO.3001197SHV.158,0.144654484
0.053807169,ARO.3000502acrF,0.153978921
-0.000119883,ARO.3000875TEM.3,0.154251029
-0.016359495,ARO.3000918TEM.49,0.154251029
-0.006597389,ARO.3000928TEM.59,0.154251029
-0.003177837,ARO.3001001TEM.137,0.154251029
-0.071583858,ARO.3002394OXY.1.6,0.154251029
0.045743221,ARO.3000491acrD,0.181423491
-0.027172782,ARO.3000947TEM.80,0.181423491
0.004350473,ARO.3001060SHV.2,0.181423491
0.027541565,ARO.3001102SHV.44,0.181423491
0.02560499,ARO.3001117SHV.62,0.181423491
0.05092506,ARO.3001118SHV.63,0.181423491
0.049367517,ARO.3001125SHV.71,0.181423491
0.018065892,ARO.3001129SHV.75,0.181423491
